"student_id","program_id","timestamp","GADS_1orig","GADS_2orig","GADS_3orig","GADS_4orig","GADS_10orig","GADS_11orig","GADS_12orig","GADS_13orig","GADS_1","GADS_2","GADS_3","GADS_4","GADS_10","GADS_11","GADS_12","GADS_13","GADS_sum_ans_4","GADS_sum_dep_4","SE01_conf_aprender","SE02_autonomia_aprender","SE14NEG_cuesta_ejercicios","SE14R_cuesta_ejercicios","SE03_resolver_ejercicios","SE04_estudiar_tiempo_necesario","SE15NEG_cuesta_clases","SE15R_cuesta_clases","SE06_entender_compleja","SE08_buscar_ayuda_autonomia","SE09_conf_aprobar","SE10_identif_baches","SE16NEG_cuesta_comparacion","SE16R_cuesta_comparacion","SE11_entender_clases","SE13_resiliencia","SE_t1","SEpos_t1","SENeg_t1","SENegR_t1","BPN01_AS","BPN02_AF","BPN03_RF","BPN04_CS","BPN05_AS","BPN06_AF","BPN07_RS","BPN08_RF","BPN09_CF","BPN10_RS","BPN11_CF","BPN12_CS","BPN_CS_t2","BPN_CF_t2","BPN_AS_t2","BPN_AF_t2","BPN_RS_t2","BPN_RF_t2","PERC_lastP_cat","PERC_lastP","SABE_NOTA_lastP","ESTUDIO_ANTICIPADO_cat","ESTUDIO_ANTICIPADO","VECES_ESTUDIO_cat","VECES_ESTUDIO","HORAS_ESTUDIO_cat","HORAS_ESTUDIO","ESTUDIARIA_MAS_cat","ESTUDIARIA_MAS","VER_VS_RESOLVER_APRENDER","VER_VS_RESOLVER_PRUEBAS","VER_VS_RESOLVER_TIEMPO"
"a06d4f5f9f2171e9de420bb18e5a1f",1730,"7/3/2024 12:06:51",3,3,1,1,3,2,2,2,1,1,0,0,1,1,1,1,2,4,6,4,3,4,4,3,3,4,3,4,5,5,3,4,4,3,4.076923077,4.1,3,4,3,4,1,4,1,2,4,2,4,4,4,2,3,4,2,3,4,1.5,"bien",4,"Si","2 días antes",2,"2 veces",2,"entre 3 y 6 horas",3,"Mucho más",2,4,6,5
"0b73d27d36f7ef15951a4d3465027f",1708,"7/1/2024 10:08:01",2,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,4,5,4,3,4,4,3,4,3,6,6,5,5,2,5,4,4.230769231,4.6,4,3,2,5,2,4,3,4,5,2,4,5,3,3,3.5,3.5,2.5,4.5,5,2,"muy mal",1,"Si","1 día antes",1,"1 vez",1,"entre 1 y 3 horas",1,"Más",1,6,6,6
"212acb790270fd68fc06c2870b57c5",1708,"6/24/2024 11:45:16",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,2,5,5,3,2,5,4,4,5,3,1,6,6,5,4.769230769,4.6,1.666666667,5.333333333,5,3,2,4,3,1,3,1,1,4,1,4,4,1,4,2,3.5,1.5,"bien",4,"No","entre 3 y 6 días antes",3,"4 veces",4,"entre 3 y 6 horas",3,"Más",1,2,4,4
"d02be7a19343cf8cee7dc1bc7de603",1736,"6/26/2024 15:17:18",1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,6,4,1,6,6,3,2,5,4,4,6,5,3,4,6,5,4.923076923,4.9,2,5,5,1,1,5,3,3,5,1,1,5,2,4,4.5,1.5,4,2,5,1,"muy bien",5,"No","1 semana antes",7,"1 vez",1,"entre 1 y 3 horas",1,"Más",1,6,6,3
"f385482f96d93bfe1a0e6a4dd472b7",1708,"6/27/2024 12:52:36",2,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,4,4,4,4,6,1,3,5,3,4,3,6,2,3,5,2,4,2,3.307692308,3.6,4.666666667,2.333333333,3,3,2,2,3,2,4,2,4,5,4,3,2.5,4,3,2.5,4.5,2,"muy mal",1,"No","1 semana antes",7,"5 o más veces",5,"entre 6 y 10 horas",6,"Mucho más",2,3,3,2
"21602950674860772afbe68517825a",1730,"7/3/2024 11:59:32",3,3,1,3,3,1,0,2,1,1,0,1,1,0,0,1,3,2,6,6,1,6,6,6,5,2,6,6,6,5,1,6,6,4,5.461538462,5.7,2.333333333,4.666666667,5,4,1,5,5,2,4,1,3,5,3,5,5,3,5,3,4.5,1,"más o menos",3,"Si","2 días antes",2,"2 veces",2,"entre 3 y 6 horas",3,"Igual",0,6,6,5
"44ee006546b490b7f0530821ea6841",1730,"7/3/2024 12:00:36",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,5,4,1,6,5,5,4,3,1,6,5,5,4.692307692,4.5,1.666666667,5.333333333,4,2,1,4,4,1,3,1,4,5,4,4,4,4,4,1.5,4,1,"mal",2,"Si","entre 3 y 6 días antes",3,"2 veces",2,"entre 1 y 3 horas",1,"Más",1,3,3,4
"d671f926ea6201f08f13d5e462febb",1807,"6/27/2024 16:14:47",2,3,1,2,2,2,1,2,1,1,0,1,1,1,0,1,3,3,3,3,4,3,2,3,3,4,2,4,2,2,6,1,3,2,2.615384615,2.6,4.333333333,2.666666667,4,3,3,3,2,2,3,4,5,2,4,2,2.5,4.5,3,2.5,2.5,3.5,"muy mal",1,"Si","2 días antes",2,"1 vez",1,"entre 1 y 3 horas",1,"Mucho más",2,6,6,6
"04e5abe37975a2252c9aebbdb0b03d",1708,"7/1/2024 10:08:18",1,0,1,1,2,3,2,2,0,0,0,0,1,1,1,1,0,4,3,3,5,2,2,2,3,4,3,1,2,2,4,3,3,2,2.461538462,2.3,4,3,5,1,1,2,3,2,3,1,5,5,5,1,1.5,5,4,1.5,4,1,"muy mal",1,"Si","1 día antes",1,"1 vez",1,"entre 1 y 3 horas",1,"Mucho más",2,1,6,1
"9a68aa1407f3d1a536f1694be00378",1822,"6/26/2024 11:26:27",1,3,1,3,3,3,2,3,0,1,0,1,1,1,1,1,2,4,1,1,6,1,1,6,6,1,1,5,1,6,6,1,3,6,2.615384615,3.1,6,1,4,5,2,3,1,3,5,1,5,4,5,2,2.5,5,2.5,4,4.5,1.5,"muy mal",1,"No","2 semanas antes",14,"5 o más veces",5,"más de 24 horas",24,"Mucho más",2,5,5,6
